,lemmas,generated phrases,real phrases
0,"cerditos, vivir, feliz",Los cerditos viven feliz.,Los cerditos viven felices.
1,"Juan, se, encontrar, un, mago",Juan se encuentra con un mago.,Juan se encontró con un mago.
2,"cabritillo, pequeño, estar, reloj",El cabritillo pequeño está en el reloj.,El cabritillo pequeño está en el reloj.
3,"otro, hija, ser, Saturno",Otra hija es Saturno.,Otra hija era Saturno.
4,"Reyes, mago, ir, camello",Los Reyes magos van en camello.,Los Reyes Magos van en camello.
5,"policía, poner, un, multa",La policía pone un multa.,El policía puso una multa.
6,"ratita, comprar, un, lazo",La ratita compra un lazo.,La ratita compra un lazo.
7,"lunes, comer, lentejas",Los lunes se come lentejas.,El lunes comeré lentejas.
8,"este, ser, Ricitos, de, Oro",Esta es Ricitos de Oro.,Esta es Ricitos de Oro.
9,"planta, llegar, cielo",La planta llega hasta el cielo.,La planta llegó hasta el cielo.
10,"cerdito, correr, rápido",El cerdito corre rápido.,El cerdito corre rápido.
11,"mamá, meter, piedras, en, barriga",Mamá mete piedras en la barriga.,Mamá mete piedras en la barriga.
12,"tirar, ventana",Tirar la ventana.,Las tiró por la ventana.
13,"niño, jugar, piscina",El niño juega en la piscina.,Los niños juegan en la piscina.
14,"Laura, Malena, ser, gemelo",Laura y Malena son gemelas.,Laura y Malena son gemelas.
15,"qué, llevar, cesta, ?",¿Qué llevas en la cesta?,¿qué llevas en la cesta?
16,"a, dónde, ir, Caperucita",¿A dónde fue Caperucita?,¿a dónde vas Caperucita?
17,"no, lo, cambiar",No lo cambies.,No lo cambiaré.
18,"me, gustar, churros, relleno",Me gustan los churros rellenos.,Me gustan los churros rellenos.
19,"niños, se, reír",Los niños se ríen.,Los niños se reían.
20,"juan, bajar, planta",Juan baja la planta.,Juan bajó por la planta.
21,"yo, escribir, un, carta, para, Reyes, mago",Yo escribo una carta para los Reyes magos.,Yo escribo una carta para los Reyes Magos.
22,"perro, ir, carretera",El perro va a la carretera.,El perro fue por la carretera.
23,"niño, pesca, un, pez, pequeñito",El niño pesca un pez pequeñito.,El niño pesca un pez pequeñito.
24,"ver, un, topo, en, otoño",Ví un topo en otoño.,Vi un topo en otoño.
25,"ratita, barrer, su, casita",La ratita barre su casita.,La ratita barre su casita.
26,"seis, cabritillos, salir, contento",Los seis cabritillos salen contentos.,Los seis cabritillos salen contentos.
27,"madrastra, no, dejar, ir, Cenicienta, a, fiesta",La madrasta no deja ir a Cenicienta a la fiesta.,La madrastra no deja ir a Cenicienta a la fiesta.
28,"todos, quedar, sorprendido, de, su, disfraz, tan, bonito",Todos quedan sorprendidos de su disfraz tan bonito.,Todos quedaron sorprendidos de su disfraz tan bonito.
29,"reyes, mago, traer, regalo",Los reyes magos traen regalos.,Los reyes magos traen regalo.
30,"mamá, me, decir, hola, por, mañana",Mamá me dice hola por la mañana.,Mamá me dice hola por la mañana.
31,"cerditos, ver, lobo",Los cerditos ven al lobo.,Los cerditos ven al lobo.
32,"amigos, de, bruja, lo, ver, bailar",Los amigos de la bruja lo ven bailar.,Los amigos de la bruja lo vieron bailar.
33,"su, mamá, se, enfadar",Su mamá se va a enfadar.,Su mamá se enfadó.
34,"perra, tener, cachorros",La perra tiene cachorros.,La perra tuvo cachorros.
35,"lobo, llegar, primero",El lobo llega primero.,El lobo llegó primero.
36,"papá, leer, un, cuento, a, niña, en, cama",Papá lee un cuento a la niña en la cama.,El papá lee un cuento a la niña en la cama.
37,"Ricitos, de, Oro, dormir, cama",Ricitos de Oro duerme en la cama.,Ricitos de Oro duerme en la cama.
38,"caracol, Ramó, no, saber, como, vestir, se",El caracol Ramó no sabe cómo vestirse.,El caracol Ramón no sabe como vestirse.
39,"Anabel, pintar, papel",Anabel pinta sobre el papel.,Anabel pinta en el papel.
40,"papá, abrir, puerta, de, coche, con, llave",Papá abre la puerta del coche con la llave.,El papá abre la puerta del coche con la llave.
41,"cazador, asustar, lobo",El cazador asusta al lobo.,El cazador asustó al lobo.
42,"Papá, Noel, ir, trineo, con, renos",Papá Noel va en trineo con renos.,Papá Noel va en trineo con renos.
43,"este, ser, Caperuza, Roja",Esta es Caperucita Roja.,Esta es Caperucita Roja.
44,"Blancanieves, correr, bosque",Blancanieves corre por el bosque.,Blancanieves corre al bosque
45,"me, doler, colmillo",Me duele el colmillo.,Me duele el colmillo.
46,"mamá, oso, coger, plato, mediano",Mamá oso coge un plato mediano.,Mamá oso coge el plato mediano.
47,"yo, dormir, noche",Yo duermo por la noche.,Yo duermo por la noche.
48,"ese, señor, ir, pasear, a, pinar",Ese señor va a pasear al pinar.,Ese señor va a pasear al pinar.
49,"Caperucita, abuela, ser, feliz",Caperucita y su abuela son felices.,Caperucita y la abuela fueron felices.
