,alpha,r,bleu,comet
0,64,8,0.6950804668983414,0.9347796016726001
1,64,16,0.6802754913822374,0.9303462834193789
2,64,32,0.6758309839250061,0.9285045671051946
3,64,64,0.6912022733049107,0.9334928905141765
4,64,128,0.697446609669008,0.9339557567547108
5,64,256,0.6809191498245806,0.9300391748033721
6,128,8,0.6857032838452706,0.9270370396046803
7,128,16,0.699194569237334,0.9327820310304905
8,128,32,0.7068719296474586,0.9345469654634081
9,128,64,0.6962232797778554,0.9310414893873806
10,128,128,0.7010598439894886,0.9318936867960568
11,128,256, 0.6993524738941453,0.9364910980750775
