alpha,r,bleu,comet
32,8,0.6595392302935675,0.9226127429255124
32,16,0.6621451519175082,0.9258928479819463
32,32,0.6469891519514962,0.9230451036116173
32,64,0.6484064992163286,0.9236749558613218
32,128,0.6369747055018086,0.9207653002492313
64,8,0.6654465058219876,0.9286959491927048
64,16,0.6679310539332028,0.9273523495115082
64,32,0.6698009755332143,0.9253914632673921
64,64,0.6735671528145426,0.9275873110212128
64,128,0.6619285443602939,0.9286015258780841
128,8,0.664056146182174,0.9278046898800751
128,16,0.6616562023725204,0.9307620603462745
128,32,0.6580276228789833,0.927377749825346
128,64,0.6637881452687286,0.9308673114612185
128,128,0.6734003394569295,0.9316677659749985
